onset	duration	trial_type	value	sample
145.872	0.0	Marker/0.0	1	36468
146.784	0.0	Marker/0.0	1	36696
147.688	0.0	Marker/0.0	1	36922
148.592	0.0	Marker/0.0	1	37148
149.5	0.0	Marker/0.0	1	37375
150.408	0.0	Marker/0.0	1	37602
151.312	0.0	Marker/1.0	2	37828
152.216	0.0	Marker/1.0	2	38054
153.128	0.0	Marker/0.0	1	38282
154.032	0.0	Marker/0.0	1	38508
154.94	0.0	Marker/0.0	1	38735
155.856	0.0	Marker/1.0	2	38964
156.76	0.0	Marker/0.0	1	39190
157.668	0.0	Marker/0.0	1	39417
158.576	0.0	Marker/0.0	1	39644
159.48	0.0	Marker/0.0	1	39870
160.388	0.0	Marker/1.0	2	40097
161.3	0.0	Marker/0.0	1	40325
162.204	0.0	Marker/0.0	1	40551
163.112	0.0	Marker/0.0	1	40778
164.02	0.0	Marker/0.0	1	41005
164.92	0.0	Marker/1.0	2	41230
165.832	0.0	Marker/0.0	1	41458
166.736	0.0	Marker/1.0	2	41684
167.648	0.0	Marker/0.0	1	41912
168.544	0.0	Marker/1.0	2	42136
169.472	0.0	Marker/0.0	1	42368
170.372	0.0	Marker/1.0	2	42593
171.268	0.0	Marker/0.0	1	42817
172.176	0.0	Marker/0.0	1	43044
173.088	0.0	Marker/0.0	1	43272
173.988	0.0	Marker/0.0	1	43497
174.9	0.0	Marker/1.0	2	43725
175.8	0.0	Marker/1.0	2	43950
176.708	0.0	Marker/0.0	1	44177
177.62	0.0	Marker/1.0	2	44405
178.52	0.0	Marker/0.0	1	44630
179.432	0.0	Marker/0.0	1	44858
180.336	0.0	Marker/0.0	1	45084
181.248	0.0	Marker/0.0	1	45312
182.148	0.0	Marker/0.0	1	45537
183.06	0.0	Marker/1.0	2	45765
183.964	0.0	Marker/1.0	2	45991
184.872	0.0	Marker/0.0	1	46218
185.784	0.0	Marker/0.0	1	46446
186.688	0.0	Marker/1.0	2	46672
187.596	0.0	Marker/0.0	1	46899
188.504	0.0	Marker/0.0	1	47126
189.408	0.0	Marker/0.0	1	47352
190.312	0.0	Marker/0.0	1	47578
191.224	0.0	Marker/0.0	1	47806
192.128	0.0	Marker/0.0	1	48032
193.024	0.0	Marker/0.0	1	48256
193.944	0.0	Marker/0.0	1	48486
194.848	0.0	Marker/1.0	2	48712
195.76	0.0	Marker/0.0	1	48940
196.668	0.0	Marker/0.0	1	49167
